101	47	325	325
426	47	325	325
751	47	325	325
1077	47	325	325
1402	47	325	325
1728	47	325	325
2053	47	325	325
2379	47	325	325
2704	47	325	325
3030	47	325	325
3355	47	325	325
3680	47	325	325
101	373	325	325
426	373	325	325
751	373	325	325
1077	373	325	325
1402	373	325	325
1728	373	325	325
2053	373	325	325
2379	373	325	325
2704	373	325	325
3030	373	325	325
3355	373	325	325
3680	373	325	325
101	698	325	325
426	698	325	325
751	698	325	325
1077	698	325	325
1402	698	325	325
1728	698	325	325
2053	698	325	325
2379	698	325	325
2704	698	325	325
3030	698	325	325
3355	698	325	325
3680	698	325	325
101	1024	325	325
426	1024	325	325
751	1024	325	325
1077	1024	325	325
1402	1024	325	325
1728	1024	325	325
2053	1024	325	325
2379	1024	325	325
2704	1024	325	325
3030	1024	325	325
3355	1024	325	325
3680	1024	325	325
101	1349	325	325
426	1349	325	325
751	1349	325	325
1077	1349	325	325
1402	1349	325	325
1728	1349	325	325
2053	1349	325	325
2379	1349	325	325
2704	1349	325	325
3030	1349	325	325
3355	1349	325	325
3680	1349	325	325
101	1675	325	325
426	1675	325	325
751	1675	325	325
1077	1675	325	325
1402	1675	325	325
1728	1675	325	325
2053	1675	325	325
2379	1675	325	325
2704	1675	325	325
3030	1675	325	325
3355	1675	325	325
3680	1675	325	325
101	2000	325	325
426	2000	325	325
751	2000	325	325
1077	2000	325	325
1402	2000	325	325
1728	2000	325	325
2053	2000	325	325
2379	2000	325	325
2704	2000	325	325
3030	2000	325	325
3355	2000	325	325
3680	2000	325	325
101	2325	325	325
426	2325	325	325
751	2325	325	325
1077	2325	325	325
1402	2325	325	325
1728	2325	325	325
2053	2325	325	325
2379	2325	325	325
2704	2325	325	325
3030	2325	325	325
3355	2325	325	325
3680	2325	325	325
101	2651	325	325
426	2651	325	325
751	2651	325	325
1077	2651	325	325
1402	2651	325	325
1728	2651	325	325
2053	2651	325	325
2379	2651	325	325
2704	2651	325	325
3030	2651	325	325
3355	2651	325	325
3680	2651	325	325
